T,J=1/2,J=1,J=3/2,J=2,J=5/2,J=3,J=7/2,J=4,J=9/2,J=inf
0.072,1,1,0.99999996,0.999999523,0.999997306,0.999990025,0.999972779,0.999939859,0.999885898,0.975878805
0.073,1,1,0.99999996,0.999999434,0.999996829,0.999988495,0.999969099,0.99993258,0.999873413,0.975527962
0.074,1,1,0.999999921,0.999999315,0.999996281,0.999986786,0.999965044,0.999924658,0.999859944,0.975176856
0.075,1,1,0.999999921,0.999999195,0.999995637,0.999984858,0.999960579,0.99991605,0.99984545,0.974825492
0.076,1,1,0.999999921,0.999999046,0.999994945,0.999982732,0.999955688,0.999906725,0.999829906,0.974473866
0.077,1,1,0.999999881,0.999998867,0.999994135,0.999980366,0.999950336,0.999896637,0.999813257,0.974121978
0.078,1,1,0.999999881,0.999998659,0.999993252,0.999977763,0.99994449,0.999885772,0.999795462,0.973769828
0.079,1,1,0.999999841,0.99999842,0.999992227,0.999974881,0.999938149,0.999874069,0.999776482,0.973417411
0.08,1,1,0.999999801,0.999998122,0.999991106,0.99997172,0.999931262,0.999861514,0.999756289,0.973064735
0.081,1,1,0.999999762,0.999997824,0.999989842,0.999968241,0.999923812,0.999848046,0.999734816,0.972711791
0.082,1,1,0.999999722,0.999997467,0.999988459,0.999964444,0.999915764,0.999833665,0.999712062,0.972358585
0.083,1,1,0.999999642,0.999997079,0.999986909,0.999960309,0.999907084,0.99981831,0.999687959,0.972005114
0.084,1,1,0.999999603,0.999996632,0.999985192,0.999955796,0.999897755,0.999801937,0.999662481,0.971651373
0.085,1,1,0.999999523,0.999996126,0.999983308,0.999950904,0.999887725,0.999784544,0.999635587,0.971297371
0.086,1,1,0.999999404,0.999995529,0.999981233,0.999945595,0.999876995,0.999766073,0.999607248,0.970943096
0.087,1,0.99999994,0.999999324,0.999994904,0.999978943,0.999939848,0.999865513,0.999746491,0.99957741,0.970588555
0.088,1,0.99999994,0.999999205,0.999994188,0.999976439,0.999933642,0.999853261,0.999725768,0.999546073,0.970233748
0.089,1,0.99999994,0.999999086,0.999993413,0.99997372,0.999926979,0.999840205,0.99970386,0.999513181,0.96987867
0.09,1,0.99999994,0.999998927,0.999992519,0.999970762,0.999919798,0.99982631,0.999680764,0.999478695,0.969523327
0.091,1,0.99999994,0.999998768,0.999991565,0.999967517,0.999912099,0.99981156,0.999656406,0.999442611,0.969167708
0.092,1,0.99999994,0.999998569,0.999990492,0.999964034,0.999903862,0.999795902,0.9996308,0.999404875,0.968811823
0.093,1,0.999999881,0.999998331,0.9999893,0.999960241,0.999895047,0.999779335,0.999603869,0.99936546,0.968455664
0.094,1,0.999999881,0.999998093,0.999988018,0.999956137,0.999885634,0.999761809,0.999575614,0.999324351,0.968099233
0.095,1,0.999999881,0.999997814,0.999986587,0.999951699,0.999875602,0.999743306,0.999546002,0.999281505,0.967742534
0.096,1,0.999999821,0.999997497,0.999985037,0.999946951,0.999864913,0.999723791,0.999514989,0.999236921,0.967385557
0.097,1,0.999999821,0.999997179,0.999983338,0.99994182,0.999853584,0.999703228,0.999482557,0.999190544,0.967028308
0.098,1,0.999999762,0.999996781,0.999981489,0.999936331,0.999841538,0.999681601,0.999448661,0.999142358,0.966670787
0.099,1,0.999999762,0.999996384,0.999979462,0.999930459,0.999828772,0.999658875,0.999413299,0.999092349,0.966312988
0.1,1,0.999999702,0.999995907,0.999977285,0.999924157,0.999815288,0.999635048,0.999376441,0.999040501,0.965954913
0.101,1,0.999999642,0.99999539,0.99997493,0.999917425,0.999801024,0.999610052,0.999338054,0.998986747,0.965596561
0.102,1,0.999999583,0.999994834,0.999972366,0.999910263,0.999785961,0.999583885,0.999298107,0.99893113,0.965237937
0.103,1,0.999999523,0.999994198,0.999969622,0.999902623,0.999770078,0.999556513,0.999256585,0.998873605,0.964879035
0.104,1,0.999999464,0.999993483,0.999966641,0.999894503,0.999753375,0.999527918,0.999213454,0.998814146,0.964519849
0.105,1,0.999999404,0.999992728,0.99996345,0.999885882,0.999735791,0.999498064,0.9991687,0.998752739,0.964160394
0.106,1,0.999999285,0.999991933,0.99995999,0.999876734,0.999717327,0.999466934,0.999122304,0.998689373,0.963800654
0.107,1,0.999999166,0.999991019,0.999956322,0.999867059,0.999697961,0.999434491,0.999074235,0.998624033,0.963440633
0.108,1,0.999999046,0.999990025,0.999952355,0.99985681,0.999677653,0.999400736,0.999024492,0.998556693,0.963080335
0.109,1,0.999998927,0.999988952,0.999948149,0.999845986,0.999656382,0.999365631,0.998973012,0.998487353,0.962719752
0.11,1,0.999998808,0.999987799,0.999943615,0.999834539,0.999634129,0.999329143,0.99891983,0.998416,0.962358892
0.111,1,0.999998629,0.999986527,0.999938812,0.999822493,0.999610853,0.99929127,0.998864904,0.998342606,0.961997743
0.112,1,0.99999845,0.999985176,0.99993368,0.999809799,0.999586572,0.999251992,0.998808205,0.998267173,0.961636317
0.113,1,0.999998271,0.999983705,0.99992822,0.999796434,0.999561246,0.999211258,0.998749733,0.998189687,0.961274606
0.114,1,0.999998093,0.999982115,0.999922431,0.999782421,0.999534835,0.999169066,0.998689472,0.998110148,0.96091261
0.115,1,0.999997854,0.999980406,0.999916284,0.999767688,0.999507337,0.999125398,0.998627394,0.998028529,0.960550328
0.116,0.999999881,0.999997556,0.999978538,0.999909748,0.999752235,0.999478712,0.999080251,0.998563498,0.997944844,0.960187762
0.117,0.999999881,0.999997318,0.99997659,0.999902823,0.999736038,0.999448959,0.999033573,0.998497769,0.997859066,0.959824906
0.118,0.999999881,0.99999696,0.999974443,0.99989554,0.999719095,0.999418037,0.998985341,0.998430192,0.997771196,0.959461769
0.119,0.999999881,0.999996662,0.999972177,0.999887808,0.999701359,0.999385946,0.99893558,0.998360738,0.997681232,0.959098339
0.12,0.999999881,0.999996245,0.999969712,0.999879657,0.99968283,0.999352663,0.998884235,0.998289421,0.997589163,0.958734624
0.121,0.999999881,0.999995887,0.999967127,0.999871087,0.999663506,0.999318148,0.998831323,0.998216211,0.997495,0.958370615
0.122,0.999999881,0.99999541,0.999964344,0.999862038,0.999643316,0.9992824,0.99877681,0.998141109,0.997398705,0.958006321
0.123,0.999999881,0.999994933,0.999961362,0.99985251,0.999622282,0.999245398,0.998720663,0.9980641,0.997300318,0.957641737
0.124,0.999999762,0.999994397,0.99995818,0.999842503,0.999600381,0.999207121,0.998662897,0.997985183,0.997199798,0.95727686
0.125,0.999999762,0.99999386,0.99995484,0.999831987,0.999577564,0.999167547,0.99860348,0.997904344,0.997097171,0.956911693
0.126,0.999999762,0.999993264,0.999951261,0.999820962,0.999553855,0.999126675,0.998542411,0.997821568,0.996992412,0.956546229
0.127,0.999999762,0.999992549,0.999947442,0.999809397,0.999529204,0.999084463,0.998479655,0.997736855,0.996885547,0.956180475
0.128,0.999999642,0.999991833,0.999943425,0.999797262,0.999503611,0.999040891,0.998415214,0.997650205,0.99677655,0.955814424
0.129,0.999999642,0.999991058,0.999939169,0.999784587,0.999477052,0.99899596,0.998349087,0.997561587,0.996665433,0.955448083
0.13,0.999999642,0.999990224,0.999934634,0.999771342,0.999449501,0.998949647,0.99828124,0.997471032,0.996552197,0.955081448
0.131,0.999999523,0.999989329,0.99992986,0.999757467,0.999420958,0.998901963,0.99821169,0.997378496,0.996436841,0.954714508
0.132,0.999999523,0.999988376,0.999924807,0.999742992,0.999391398,0.998852849,0.998140385,0.997284007,0.99631938,0.954347278
0.133,0.999999404,0.999987362,0.999919475,0.999727915,0.999360772,0.998802324,0.998067361,0.997187552,0.996199786,0.95397975
0.134,0.999999285,0.999986229,0.999913864,0.999712148,0.999329127,0.998750349,0.997992566,0.997089114,0.996078085,0.953611924
0.135,0.999999285,0.999985037,0.999907975,0.999695749,0.999296391,0.998696923,0.997916016,0.996988695,0.995954266,0.9532438
0.136,0.999999166,0.999983785,0.999901766,0.999678688,0.999262563,0.998642027,0.997837695,0.996886309,0.995828353,0.952875374
0.137,0.999999046,0.999982413,0.999895198,0.999660906,0.999227641,0.998585661,0.997757604,0.996781926,0.995700321,0.95250665
0.138,0.999998927,0.999980982,0.999888352,0.999642431,0.9991916,0.998527785,0.997675741,0.99667556,0.995570196,0.95213762
0.139,0.999998927,0.999979432,0.999881106,0.999623263,0.999154416,0.998468398,0.997592056,0.996567229,0.995437965,0.951768291
0.14,0.999998808,0.999977762,0.999873541,0.999603312,0.999116063,0.998407502,0.997506599,0.996456885,0.995303655,0.951398665
0.141,0.999998569,0.999976033,0.999865617,0.999582637,0.999076564,0.998345076,0.997419321,0.996344574,0.995167251,0.951028728
0.142,0.99999845,0.999974125,0.999857293,0.999561179,0.999035894,0.998281121,0.997330237,0.996230266,0.995028768,0.950658489
0.143,0.999998331,0.999972157,0.999848611,0.999538965,0.998993993,0.998215595,0.997239331,0.996113977,0.994888205,0.950287948
0.144,0.999998093,0.999970069,0.999839489,0.999515937,0.998950887,0.9981485,0.997146603,0.995995705,0.994745563,0.949917096
0.145,0.999997973,0.999967803,0.999830007,0.999492092,0.998906565,0.998079855,0.997052053,0.995875437,0.994600867,0.949545946
0.146,0.999997735,0.999965477,0.999820046,0.999467402,0.998861003,0.998009601,0.996955663,0.995753187,0.994454105,0.949174481
0.147,0.999997497,0.999962972,0.999809685,0.999441895,0.998814177,0.997937758,0.996857451,0.995628955,0.994305289,0.948802709
0.148,0.999997258,0.999960347,0.999798884,0.99941551,0.998766088,0.997864325,0.996757383,0.99550274,0.994154434,0.948430631
0.149,0.99999702,0.999957543,0.999787604,0.999388277,0.998716736,0.997789262,0.996655492,0.995374544,0.994001538,0.948058247
0.15,0.999996781,0.999954561,0.999775883,0.999360165,0.998666072,0.997712591,0.996551746,0.995244381,0.993846603,0.947685547
0.151,0.999996424,0.999951458,0.999763681,0.999331113,0.998614096,0.99763429,0.996446142,0.995112236,0.993689641,0.947312536
0.152,0.999996185,0.999948177,0.99975096,0.999301181,0.99856081,0.99755436,0.9963387,0.994978123,0.993530665,0.946939219
0.153,0.999995827,0.999944717,0.999737717,0.999270308,0.998506212,0.997472781,0.996229401,0.994842044,0.993369675,0.946565587
0.154,0.99999547,0.999941077,0.999723994,0.999238493,0.998450255,0.997389532,0.996118246,0.994703998,0.993206686,0.946191639
0.155,0.999994993,0.999937258,0.99970975,0.999205706,0.998392939,0.997304655,0.996005235,0.994563984,0.993041696,0.945817381
0.156,0.999994635,0.99993326,0.999694944,0.999171974,0.998334264,0.997218089,0.995890367,0.994422018,0.992874718,0.945442807
0.157,0.999994158,0.999929022,0.999679577,0.999137238,0.998274206,0.997129874,0.99577366,0.9942781,0.992705767,0.945067918
0.158,0.999993681,0.999924606,0.999663648,0.999101496,0.998212766,0.997039969,0.99565508,0.99413223,0.992534842,0.944692705
0.159,0.999993085,0.99991995,0.999647157,0.999064778,0.998149942,0.996948397,0.995534643,0.993984422,0.992361943,0.944317182
0.16,0.999992489,0.999915115,0.999630063,0.999027022,0.998085712,0.996855114,0.995412332,0.993834662,0.992187097,0.943941342
0.161,0.999991893,0.999910041,0.999612366,0.998988211,0.998020052,0.996760164,0.995288183,0.99368298,0.992010303,0.943565184
0.162,0.999991297,0.999904668,0.999594027,0.998948335,0.99795296,0.996663504,0.995162177,0.99352936,0.991831575,0.943188701
0.163,0.999990581,0.999899115,0.999575124,0.998907447,0.997884439,0.996565156,0.995034315,0.993373817,0.991650912,0.942811898
0.164,0.999989866,0.999893263,0.999555537,0.998865455,0.997814487,0.996465099,0.994904579,0.993216352,0.991468329,0.942434781
0.165,0.999989151,0.999887172,0.999535306,0.998822391,0.997743056,0.996363333,0.994773004,0.993056965,0.991283838,0.942057334
0.166,0.999988316,0.999880841,0.99951443,0.998778224,0.997670171,0.996259839,0.994639572,0.992895684,0.991097439,0.941679572
0.167,0.999987362,0.999874211,0.999492829,0.998732924,0.997595832,0.996154656,0.994504284,0.992732496,0.990909131,0.941301479
0.168,0.999986527,0.999867282,0.999470582,0.998686522,0.997519991,0.996047744,0.994367157,0.992567416,0.990718956,0.940923065
0.169,0.999985454,0.999860053,0.99944765,0.998638987,0.997442696,0.995939103,0.994228173,0.992400427,0.990526899,0.940544326
0.17,0.9999845,0.999852585,0.999423991,0.99859032,0.997363874,0.995828754,0.994087349,0.992231576,0.990332974,0.940165259
0.171,0.999983307,0.999844757,0.999399604,0.998540491,0.997283574,0.995716656,0.993944686,0.992060832,0.990137181,0.939785868
0.172,0.999982115,0.99983663,0.999374491,0.998489469,0.997201749,0.995602849,0.993800184,0.991888225,0.989939546,0.93940614
0.173,0.999980922,0.999828142,0.999348608,0.998437315,0.997118421,0.995487315,0.993653825,0.991713739,0.98974007,0.939026096
