T,J=1/2,J=1,J=3/2,J=2,J=5/2,J=3,J=7/2,J=4,J=9/2,J=inf
0.249,0.999347144,0.997538086,0.994425478,0.990457332,0.986111454,0.981725399,0.977496236,0.973522606,0.969843134,0.909109754
0.25,0.999325712,0.99747711,0.994313577,0.990294892,0.985904557,0.98148159,0.977222618,0.973225121,0.969526568,0.908701522
0.251,0.999303793,0.997415121,0.994200325,0.990130901,0.985696061,0.981236268,0.976947547,0.972926273,0.969208764,0.908292867
0.252,0.999281265,0.997352058,0.994085639,0.98996533,0.985485989,0.980989414,0.976671042,0.972626095,0.968889694,0.907883807
0.253,0.999258249,0.997287983,0.993969605,0.989798239,0.985274368,0.980741026,0.976393101,0.972324568,0.968569384,0.907474342
0.254,0.999234622,0.997222894,0.993852139,0.989629597,0.985061145,0.980491125,0.976113705,0.972021709,0.968247821,0.907064452
0.255,0.999210629,0.997156672,0.993733283,0.989459374,0.984846371,0.980239689,0.975832893,0.971717518,0.967925046,0.906654159
0.256,0.999185903,0.997089438,0.993612994,0.9892876,0.984629997,0.979986761,0.975550645,0.971411994,0.967601018,0.906243449
0.257,0.999160687,0.99702113,0.993491315,0.989114276,0.984412071,0.979732298,0.975266996,0.971105152,0.967275762,0.905832324
0.258,0.999134738,0.99695175,0.993368246,0.9889394,0.984192593,0.979476342,0.974981928,0.97079699,0.966949293,0.905420777
0.259,0.999108298,0.996881479,0.993243704,0.988762943,0.983971515,0.979218892,0.97469544,0.970487527,0.966621598,0.905008814
0.26,0.999081246,0.996809889,0.993117772,0.988584968,0.983748909,0.978959949,0.974407532,0.970176745,0.966292688,0.904596435
0.261,0.999053703,0.996737231,0.99299045,0.98840541,0.983524727,0.978699489,0.974118241,0.969864658,0.965962591,0.90418364
0.262,0.999025423,0.99666344,0.992861656,0.9882243,0.983298992,0.978437557,0.973827547,0.969551266,0.965631252,0.903770405
0.263,0.998996496,0.996588514,0.992731432,0.988041641,0.983071705,0.978174128,0.973535467,0.969236587,0.965298738,0.90335676
0.264,0.998966933,0.996512518,0.992599777,0.987857399,0.982842865,0.977909205,0.973241982,0.968920618,0.964965025,0.902942552
0.265,0.998936891,0.996435329,0.992466649,0.987671636,0.982612473,0.977642828,0.972947132,0.96860336,0.964630122,0.902528054
0.266,0.998906015,0.996357067,0.992332133,0.987484293,0.982380528,0.977374955,0.972650894,0.968284826,0.964294016,0.902113121
0.267,0.998874545,0.996277613,0.992196144,0.987295398,0.982147027,0.977105628,0.972353271,0.967965003,0.963956736,0.901697752
0.268,0.998842597,0.996197086,0.992058684,0.987104952,0.981912001,0.976834805,0.972054277,0.967643917,0.96361828,0.901281974
0.269,0.998809695,0.996115306,0.991919794,0.986912924,0.981675446,0.976562547,0.971753914,0.967321559,0.963278646,0.900865743
0.27,0.998776198,0.996032394,0.991779432,0.986719376,0.981437336,0.976288814,0.971452199,0.966997938,0.962937838,0.900449094
0.271,0.998742102,0.995948351,0.99163764,0.986524245,0.981197697,0.976013624,0.971149114,0.966673074,0.962595867,0.900032002
0.272,0.998707174,0.995863115,0.991494377,0.986327563,0.980956502,0.975736977,0.970844676,0.966346932,0.962252732,0.899614483
0.273,0.998671531,0.995776686,0.991349643,0.98612933,0.980713806,0.975458875,0.970538885,0.966019542,0.961908433,0.899196522
0.274,0.998635411,0.995689005,0.991203439,0.985929544,0.980469577,0.975179335,0.97023176,0.96569091,0.961562999,0.898778116
0.275,0.998598216,0.995600191,0.991055927,0.985728207,0.980223819,0.974898361,0.969923277,0.965361027,0.961216385,0.898359285
0.276,0.998560666,0.995510187,0.990906779,0.985525286,0.979976532,0.97461593,0.969613462,0.965029915,0.960868634,0.897939995
0.277,0.998522042,0.995419113,0.990756154,0.985320847,0.979727713,0.974332061,0.969302307,0.964697554,0.960519746,0.89752027
0.278,0.998482943,0.995326658,0.990604025,0.985114822,0.979477388,0.974046755,0.968989817,0.964363975,0.960169706,0.897100103
0.279,0.998442887,0.995232957,0.990450464,0.984907278,0.979225557,0.973760032,0.968676006,0.964029149,0.959818526,0.896679496
0.28,0.998402239,0.995138063,0.990295352,0.984698149,0.978972196,0.973471892,0.968360857,0.963693105,0.959466223,0.896258435
0.281,0.998360512,0.995041918,0.99013881,0.984487469,0.978717353,0.973182314,0.968044388,0.963355842,0.959112779,0.895836934
0.282,0.998318312,0.994944521,0.989980757,0.984275269,0.978460953,0.972891318,0.967726615,0.963017362,0.95875821,0.895414974
0.283,0.998275159,0.994845932,0.989821231,0.984061483,0.978203072,0.972598905,0.967407522,0.962677679,0.958402515,0.894992564
0.284,0.998231289,0.99474603,0.989660154,0.983846304,0.977943708,0.972305072,0.967087125,0.962336758,0.958045707,0.894569702
0.285,0.998186707,0.994645061,0.989497647,0.983629445,0.97768281,0.972009843,0.966765405,0.961994653,0.957687771,0.894146384
0.286,0.998141289,0.994542657,0.989333588,0.983411032,0.977420431,0.971713193,0.966442399,0.961651325,0.957328722,0.893722608
0.287,0.998094794,0.994438934,0.98916806,0.983191036,0.977156543,0.971415145,0.966118089,0.961306807,0.956968574,0.893298382
0.288,0.998047585,0.994333964,0.989001019,0.982969517,0.976891147,0.971115719,0.96579247,0.960961086,0.956607295,0.892873706
0.289,0.997999668,0.994227745,0.988832465,0.982746465,0.976624292,0.970814873,0.965465567,0.960614172,0.956244931,0.892448558
0.29,0.99795091,0.994120153,0.988662401,0.98252184,0.976356083,0.970512627,0.965137374,0.96026607,0.95588145,0.892022951
0.291,0.9979012,0.994011555,0.988490867,0.982295661,0.976086235,0.970208981,0.964807873,0.959916776,0.955516882,0.891596877
0.292,0.997850413,0.993901399,0.98831778,0.982067961,0.975814879,0.969903977,0.964477121,0.959566289,0.95515121,0.891170349
0.293,0.997798912,0.993789924,0.988143347,0.981838706,0.975542063,0.969597571,0.96414508,0.959214646,0.954784438,0.890743353
0.294,0.9977467,0.993677207,0.987967239,0.981607896,0.97526776,0.969289939,0.963811748,0.958861806,0.954416574,0.890315876
0.295,0.997693413,0.993563116,0.987789617,0.981375533,0.974991999,0.968980773,0.963477141,0.95850779,0.954047637,0.889887934
0.296,0.997639292,0.993447899,0.987610474,0.981141646,0.974714751,0.968670225,0.963141281,0.958152597,0.953677593,0.889459535
0.297,0.997584458,0.993331184,0.98742979,0.980906239,0.974436,0.968358316,0.962804281,0.957796241,0.953306473,0.889030646
0.298,0.997528549,0.993213091,0.987247593,0.980669241,0.974155804,0.968045028,0.962465894,0.957438707,0.952934275,0.88860131
0.299,0.997471684,0.993093696,0.987063883,0.980430723,0.973874123,0.967730378,0.962126231,0.957080175,0.952561001,0.888171473
0.3,0.997413746,0.992973112,0.986878624,0.98019068,0.973590979,0.967414344,0.961785291,0.956720314,0.952186783,0.887741166
0.301,0.997354977,0.992851032,0.98669185,0.979949082,0.973306374,0.96709697,0.961443115,0.956359306,0.951811366,0.887310377
0.302,0.997295491,0.992727573,0.986503693,0.979706122,0.973020307,0.966778212,0.96109968,0.955997148,0.951434855,0.886879125
0.303,0.997234813,0.992602936,0.986313859,0.979461444,0.972732776,0.966458131,0.960754988,0.955633809,0.951057293,0.886447375
0.304,0.997173303,0.99247674,0.986122468,0.979215242,0.972443782,0.966136669,0.960409055,0.955269336,0.950678651,0.886015146
0.305,0.997110593,0.992349228,0.985929568,0.978967483,0.972153326,0.965813862,0.960061863,0.954903712,0.950298942,0.885582434
0.306,0.997047177,0.992220477,0.985735105,0.978718202,0.971861431,0.965489691,0.959713447,0.954536938,0.949918182,0.885149238
0.307,0.99698256,0.992090167,0.98553914,0.978467395,0.971568074,0.9651642,0.959363772,0.954169028,0.949536366,0.88471569
0.308,0.996917118,0.991958665,0.985341748,0.97821506,0.971273431,0.96483734,0.959012864,0.953799968,0.949153469,0.884281507
0.309,0.996850597,0.991825553,0.98514268,0.977961153,0.970977168,0.964509161,0.958660739,0.95342977,0.948769529,0.883846843
0.31,0.996783124,0.99169107,0.984942056,0.977705738,0.970679466,0.964179634,0.958307352,0.953058436,0.948384537,0.883411675
0.311,0.996714455,0.991555331,0.984739879,0.977448959,0.970380297,0.963848764,0.957952759,0.952685961,0.94799849,0.882976028
0.312,0.996644837,0.991418044,0.984536194,0.977190489,0.970079713,0.963516721,0.957596921,0.952312368,0.947611384,0.882539876
0.313,0.996574265,0.991279505,0.984331107,0.976930497,0.969777689,0.96318318,0.957239855,0.951937634,0.947223238,0.882103219
0.314,0.996502497,0.991139417,0.984124273,0.976668946,0.969474197,0.962848312,0.956881563,0.951561762,0.946834033,0.88166606
0.315,0.996430021,0.990998019,0.983915925,0.976405867,0.969169289,0.962512119,0.956522215,0.951184766,0.946443807,0.881228412
0.316,0.996356231,0.990855058,0.983705984,0.976141291,0.968862937,0.9621746,0.956161502,0.950806647,0.946052515,0.880790262
0.317,0.996281358,0.990710862,0.9834947,0.975875158,0.968555331,0.961835754,0.955799543,0.95042757,0.945660179,0.880351598
0.318,0.996205543,0.990565226,0.98328168,0.975607691,0.968246122,0.9614956,0.955436393,0.950047215,0.945266963,0.879912433
0.319,0.996128413,0.990417905,0.983067077,0.975338515,0.967935468,0.96115412,0.955072029,0.949665737,0.94487255,0.879472747
0.32,0.996050444,0.990269354,0.982851093,0.97506783,0.967623396,0.960811311,0.954706437,0.94928313,0.944477104,0.879032567
0.321,0.995971171,0.990119362,0.982633428,0.974795617,0.967309906,0.960467347,0.954339648,0.948899428,0.944080626,0.878591866
0.322,0.995890936,0.989967759,0.982414151,0.974521845,0.96699497,0.960121923,0.953971647,0.9485146,0.943683115,0.878150646
0.323,0.995809642,0.989814843,0.982193506,0.97424677,0.966678618,0.95977519,0.953602451,0.948128657,0.943284569,0.877708926
0.324,0.995727145,0.989660497,0.981971094,0.973969969,0.966361002,0.959427139,0.953232195,0.947741605,0.942884991,0.877266668
0.325,0.995643452,0.989504665,0.981747171,0.973691671,0.966041807,0.959077789,0.952860585,0.947353453,0.942484362,0.876824042
0.326,0.995558571,0.989347334,0.981521807,0.973411824,0.965721215,0.958727126,0.952487783,0.946964343,0.942082728,0.876380753
0.327,0.995472616,0.989188572,0.981294736,0.973130662,0.965399179,0.958375173,0.95211378,0.946573965,0.941680208,0.87593694
0.328,0.995385715,0.98902814,0.98106624,0.972847773,0.965075748,0.958022044,0.951738579,0.946182484,0.941276514,0.875492626
0.329,0.995297376,0.988866394,0.980835999,0.972563388,0.964751051,0.957667491,0.951362166,0.945789908,0.940871799,0.875047759
0.33,0.995208091,0.988703155,0.980604395,0.972277667,0.964424773,0.957311603,0.950984738,0.945396231,0.940466058,0.874602357
0.331,0.995117357,0.988538424,0.98037102,0.971990226,0.964097097,0.956954448,0.950605959,0.945001452,0.94005928,0.874156447
0.332,0.995025688,0.988372389,0.980136248,0.971701311,0.963767997,0.956595999,0.950225995,0.944605726,0.939651488,0.873709985
0.333,0.994932697,0.988204674,0.979899727,0.971411025,0.963437686,0.956236412,0.94984483,0.94420874,0.939242673,0.873262997
0.334,0.99483851,0.988035409,0.979661843,0.971119046,0.963105767,0.955875369,0.949462482,0.943810673,0.938832986,0.872815616
0.335,0.99474339,0.987864648,0.979422169,0.970825737,0.962772468,0.955513038,0.949079108,0.9434115,0.938422135,0.872367551
0.336,0.994646824,0.987692395,0.979181111,0.970530756,0.962437908,0.955149575,0.948694391,0.943011226,0.938010268,0.871918955
0.337,0.994548948,0.987518656,0.978938442,0.970234239,0.962101786,0.95478468,0.94830851,0.942610035,0.937597376,0.871469807
0.338,0.994449991,0.987343485,0.978694017,0.969936388,0.96176429,0.954418486,0.947921422,0.94220758,0.937183468,0.871020125
0.339,0.994349855,0.9871667,0.978448235,0.969636842,0.961425528,0.954050999,0.947533325,0.941804038,0.936768699,0.870569875
0.34,0.994248406,0.986988489,0.978200831,0.969335986,0.961085224,0.953682396,0.947143882,0.941399407,0.936352758,0.870119238
0.341,0.994145637,0.986808597,0.977951855,0.969033398,0.960743657,0.953312336,0.94675327,0.940993856,0.935935804,0.869667917
0.342,0.994041554,0.986627342,0.977701124,0.96872951,0.960400552,0.952941031,0.946361471,0.940587043,0.935517833,0.86921602
0.343,0.99393628,0.986444389,0.97744895,0.968423947,0.960056046,0.952568575,0.945968674,0.940179154,0.935098999,0.868763592
0.344,0.99382982,0.986260028,0.977195222,0.968117015,0.959710322,0.95219471,0.945574533,0.939770333,0.934679007,0.868310582
0.345,0.993721926,0.986074114,0.976939915,0.967808581,0.959363027,0.9518197,0.945179358,0.939360275,0.934257994,0.867857171
0.346,0.993612843,0.985886446,0.976682986,0.967498473,0.959014491,0.951443274,0.944782891,0.938949119,0.933836132,0.867403063
0.347,0.993502445,0.985697486,0.976424483,0.967187026,0.958664417,0.951065576,0.94438523,0.938537043,0.933413095,0.86694839
0.348,0.993390729,0.985506904,0.976164402,0.96687408,0.958313125,0.950686751,0.943986555,0.938123714,0.932989052,0.866493137
0.349,0.993277951,0.985314717,0.975902722,0.966559457,0.957960284,0.95030651,0.943586566,0.937709323,0.932564141,0.866037483
0.35,0.993163492,0.985121027,0.975639442,0.966243491,0.957606203,0.949925144,0.943185541,0.93729399,0.932138084,0.865581099
0.351,0.993047968,0.984925736,0.975374541,0.965926027,0.957250712,0.949542361,0.942783203,0.93687742,0.931711174,0.865124154
0.352,0.992931011,0.984728878,0.975108062,0.965606849,0.956893698,0.94915846,0.942379726,0.936459947,0.931283067,0.864666783
0.353,0.992812746,0.984530405,0.974840028,0.965286367,0.956535474,0.94877313,0.941975205,0.936041229,0.930853984,0.864208683
0.354,0.992693286,0.984330508,0.974570526,0.964964376,0.956175699,0.948386677,0.94156937,0.935621582,0.930424027,0.863750009
0.355,0.992572157,0.984128881,0.974299246,0.964640877,0.955814694,0.947998982,0.941162535,0.935200698,0.929992918,0.8632909
0.356,0.992449957,0.983925819,0.974026391,0.964315866,0.955452291,0.947609851,0.940754538,0.934778884,0.929560937,0.862831074
0.357,0.99232632,0.983721015,0.973752085,0.963989351,0.955088523,0.947219605,0.940345203,0.934355827,0.92912782,0.862370786
0.358,0.99220112,0.983514719,0.973476005,0.963661358,0.954723203,0.946828122,0.939934878,0.933931875,0.928693832,0.861909785
0.359,0.992074868,0.983306682,0.973198324,0.963331818,0.954356663,0.946435189,0.939523236,0.933506679,0.928258671,0.8614482
0.36,0.991946929,0.98309721,0.972919259,0.963000808,0.953988766,0.946041155,0.939110594,0.93308055,0.927822666,0.860986158
0.361,0.991817683,0.982886137,0.972638377,0.962668279,0.953619445,0.945645871,0.938696783,0.932653192,0.927385641,0.860523384
0.362,0.991687131,0.982673452,0.972356021,0.96233424,0.953248795,0.945249322,0.938281641,0.932224922,0.926947461,0.860060153
0.363,0.991555272,0.982459148,0.972072111,0.961998687,0.95287672,0.944851344,0.937865502,0.931795558,0.926508437,0.859596189
0.364,0.991421608,0.982243153,0.971786552,0.961661826,0.952503322,0.944452274,0.937448196,0.931365138,0.92606838,0.859131765
0.365,0.991286874,0.982025753,0.971499232,0.96132328,0.952128494,0.944051941,0.937029751,0.930933465,0.92562716,0.858666741
0.366,0.991150591,0.981806592,0.97121047,0.960983223,0.951752311,0.943650358,0.936610126,0.930500879,0.925184848,0.858200972
0.367,0.991013003,0.981585703,0.970920107,0.960641817,0.951374752,0.943247502,0.936189193,0.930067212,0.924741757,0.857734723
0.368,0.990873985,0.981363377,0.970628138,0.960298765,0.950995812,0.942843396,0.93576726,0.929632471,0.924297647,0.857267735
0.369,0.990733145,0.98113944,0.970334497,0.959954192,0.950615495,0.942438018,0.935344168,0.929196665,0.92385254,0.856800273
0.37,0.990591259,0.980913632,0.970039277,0.95960831,0.950233959,0.942031389,0.9349199,0.928759588,0.923406434,0.856332192
0.371,0.990447692,0.980686402,0.96974263,0.959260908,0.949850902,0.941623508,0.934494489,0.928321621,0.922959133,0.855863375
0.372,0.990302828,0.980457496,0.969444133,0.958911821,0.949466452,0.941214349,0.934067916,0.927882579,0.922510985,0.855394066
0.373,0.990156283,0.980227103,0.969144059,0.958561416,0.949080784,0.94080396,0.933640191,0.927442433,0.922061827,0.854924138
0.374,0.990008553,0.979994841,0.968842524,0.958209495,0.948693594,0.940392456,0.933211458,0.9270011,0.921611651,0.854453586
0.375,0.989859268,0.979760969,0.968539196,0.957855887,0.948305029,0.939979532,0.932781395,0.926558792,0.921160454,0.853982406
0.376,0.989708303,0.97952554,0.968234413,0.957500958,0.947915248,0.939565356,0.932350191,0.926115404,0.920708408,0.853510594
0.377,0.9895559,0.979288487,0.967927841,0.957144514,0.947524082,0.939150081,0.931917813,0.925670948,0.920255184,0.853038016
0.378,0.989402069,0.97904958,0.967619789,0.956786582,0.947131402,0.938733386,0.931484288,0.925225556,0.919800939,0.852564943
0.379,0.989246699,0.978809166,0.967310143,0.956427125,0.946737497,0.9383156,0.931049757,0.924778939,0.919345694,0.852091247
0.38,0.989089893,0.978567006,0.966998842,0.956066146,0.946342211,0.937896385,0.930613901,0.924331222,0.918889427,0.851616887
0.381,0.988931533,0.978323435,0.966685892,0.955703877,0.945945378,0.937476076,0.930177056,0.923882582,0.918432278,0.851141904
0.382,0.988771509,0.978077888,0.966371333,0.955339886,0.945547359,0.937054365,0.929738875,0.923432717,0.917973952,0.85066641
0.383,0.988609897,0.977830893,0.966055127,0.954974408,0.945147943,0.936631529,0.929299699,0.922981763,0.917514626,0.850190126
0.384,0.988446884,0.977582005,0.965737484,0.954607571,0.944747168,0.936207457,0.928859196,0.922529879,0.917054433,0.84971321
0.385,0.988282562,0.977331594,0.965418014,0.954239075,0.944345018,0.935782119,0.92841752,0.922076912,0.916593052,0.849235612
0.386,0.988116188,0.977079446,0.965097071,0.953869248,0.943941479,0.935355513,0.927974679,0.921622689,0.916130807,0.848757399
0.387,0.987948524,0.976825785,0.964774294,0.953497735,0.943536736,0.934927497,0.927530833,0.921167544,0.915667542,0.84827865
0.388,0.987779416,0.976570215,0.964450088,0.953124861,0.943130444,0.93449839,0.927085825,0.920711327,0.91520307,0.847799086
0.389,0.98760851,0.97631314,0.964124185,0.95275049,0.942722793,0.934068169,0.926639652,0.92025401,0.914737766,0.847319025
0.39,0.98743606,0.976054124,0.963796679,0.952374622,0.942313902,0.933636518,0.926192309,0.919795439,0.914271415,0.846838156
0.391,0.987262039,0.975793581,0.963467553,0.951997226,0.941903474,0.933203618,0.925743809,0.91933594,0.91380403,0.846356749
0.392,0.987086485,0.975531276,0.963136741,0.951618306,0.941491865,0.932769472,0.92529413,0.918875358,0.913335613,0.845874511
0.393,0.98690938,0.975267467,0.96280444,0.95123788,0.941078853,0.932334203,0.924843295,0.918413668,0.912866176,0.845391782
0.394,0.986730585,0.975001744,0.962470308,0.950856123,0.940664307,0.931897513,0.924391457,0.917951042,0.912395689,0.844908346
0.395,0.986550248,0.974734411,0.962134751,0.950472676,0.940248515,0.931459739,0.923938269,0.91748718,0.9119242,0.844424093
0.396,0.986368222,0.974465376,0.96179748,0.950087855,0.939831363,0.931020523,0.923484089,0.917022214,0.911451633,0.843939317
0.397,0.986184421,0.974194553,0.961458377,0.949701368,0.939412852,0.93057994,0.923028556,0.916556307,0.910978225,0.843453838
0.398,0.985999442,0.973922167,0.961118025,0.949313545,0.938992948,0.930138346,0.922572015,0.916089137,0.910503592,0.842967686
0.399,0.98581239,0.973647834,0.960775787,0.948924189,0.938571821,0.929695459,0.922114145,0.91562104,0.910027937,0.84248083
0.4,0.985623798,0.973371958,0.96043189,0.948533301,0.938149111,0.92925132,0.921655251,0.91515168,0.9095514,0.841993287
0.401,0.985433796,0.973094277,0.960086517,0.948140901,0.937725053,0.928805914,0.921195185,0.914681379,0.909073815,0.841505042
0.402,0.985241836,0.972814817,0.959739296,0.947747145,0.937299781,0.928359232,0.92073396,0.914209957,0.908595023,0.841016259
0.403,0.985048221,0.972533781,0.959390561,0.947351709,0.936873106,0.927911279,0.920271542,0.913737466,0.908115329,0.840526606
0.404,0.984853326,0.972250975,0.959040161,0.946954727,0.936444901,0.927462219,0.919807946,0.913263837,0.907634617,0.840036254
0.405,0.984656227,0.971966421,0.958688147,0.946556416,0.936015465,0.927011738,0.919343326,0.912789111,0.907152845,0.839545346
0.406,0.984457978,0.971679995,0.958334599,0.946156565,0.935584629,0.926560138,0.918877369,0.912313282,0.906670013,0.839053732
0.407,0.984257782,0.971392022,0.957979171,0.94575519,0.935152397,0.926107234,0.918410382,0.911836331,0.906186135,0.838561255
0.408,0.984055792,0.971102044,0.957622255,0.945352254,0.934718957,0.925653085,0.917942055,0.911358448,0.905701355,0.838068193
0.409,0.983852268,0.970810689,0.957263634,0.944947842,0.934283949,0.925197637,0.917472702,0.910879256,0.905215371,0.837574414
0.41,0.983647055,0.970517293,0.956903393,0.944541867,0.933847711,0.924740919,0.917002159,0.910399135,0.904728319,0.837079914
0.411,0.983439932,0.970222321,0.956541403,0.94413451,0.933409926,0.924282936,0.916530438,0.909917895,0.904240378,0.836584678
0.412,0.983231367,0.969925535,0.956177785,0.943725653,0.932970678,0.923823633,0.91605751,0.909435516,0.903751368,0.836088711
0.413,0.983020737,0.969626869,0.955812596,0.943315072,0.932530217,0.923363264,0.915583374,0.90895204,0.903261303,0.835592026
0.414,0.982808848,0.969326601,0.955445783,0.942903136,0.932088372,0.922901566,0.915108081,0.908467415,0.902770148,0.835094742
0.415,0.982594764,0.969024353,0.955077218,0.942489843,0.93164515,0.922438422,0.914631724,0.907981687,0.902277922,0.834596574
0.416,0.982379382,0.968720673,0.954706982,0.942074823,0.931200659,0.921974175,0.914154036,0.907494823,0.901784662,0.834097806
0.417,0.982161962,0.968414867,0.954335211,0.941658434,0.930754767,0.921508782,0.913675274,0.907006995,0.901290299,0.833598157
0.418,0.981942842,0.96810752,0.953961777,0.94124031,0.930307315,0.921041954,0.913195346,0.906518045,0.900795027,0.833097894
0.419,0.981721944,0.967798303,0.953586577,0.940820845,0.929858629,0.920573813,0.912714209,0.906027804,0.900298516,0.832596874
0.42,0.981499505,0.967487433,0.95320975,0.940399824,0.929408682,0.920104558,0.912231839,0.905536571,0.899801101,0.832095095
0.421,0.981275131,0.967174662,0.952831167,0.939977406,0.928957185,0.91963383,0.911748468,0.905044192,0.899302588,0.831592568
0.422,0.981048822,0.966860102,0.952451041,0.939553271,0.928504257,0.919161968,0.911263678,0.90455086,0.898803011,0.831089405
0.423,0.980821104,0.966543809,0.952069205,0.93912776,0.92805011,0.918688796,0.910777876,0.904056219,0.898302323,0.830585352
0.424,0.980591319,0.966225726,0.951685688,0.938700707,0.927594503,0.918214528,0.910290839,0.903560596,0.897800734,0.830080659
0.425,0.980359879,0.965905735,0.951300646,0.938272109,0.927137527,0.917738747,0.909802613,0.90306367,0.897297862,0.829575042
0.426,0.980126653,0.9655841,0.950913643,0.937841933,0.926679082,0.917261863,0.90931316,0.902565748,0.896794079,0.829068806
0.427,0.979891445,0.965260548,0.950525106,0.937410371,0.926219438,0.916783489,0.908822468,0.902066675,0.896289202,0.82856178
0.428,0.979654762,0.964935313,0.950135084,0.936977062,0.925758351,0.916303954,0.908330748,0.90156662,0.8957832,0.828053967
0.429,0.979415966,0.964608172,0.949743098,0.936542375,0.92529564,0.915823302,0.907837611,0.901065238,0.895276138,0.827545513
0.43,0.97917555,0.964279154,0.949349572,0.936106303,0.924831887,0.915341145,0.907343426,0.900562872,0.894767937,0.827036142
0.431,0.978933284,0.963948483,0.948954325,0.935668215,0.924366498,0.914857857,0.906848175,0.900059183,0.894258811,0.826526096
0.432,0.978688852,0.963615854,0.948557497,0.935228986,0.923899891,0.91437308,0.906351514,0.89955447,0.893748567,0.82601527
0.433,0.978443035,0.963281568,0.948158982,0.934788137,0.923431642,0.913887299,0.905853644,0.899048798,0.893237197,0.825503628
0.434,0.978195402,0.96294534,0.947758647,0.934345894,0.922962145,0.913400058,0.905354685,0.898541745,0.892724744,0.824991177
0.435,0.977945554,0.962607443,0.94735662,0.933901887,0.922491382,0.912911459,0.904854514,0.898033718,0.892211156,0.824477939
0.436,0.977694073,0.96226759,0.946953016,0.933456515,0.92201901,0.912421712,0.904353081,0.897524337,0.891696616,0.823964012
0.437,0.977440644,0.961925793,0.946547671,0.933009707,0.921545331,0.911930648,0.90385058,0.897014139,0.891180932,0.823449113
0.438,0.977185664,0.961582247,0.94614075,0.932561145,0.921070246,0.911438237,0.903346663,0.896502565,0.890664142,0.822933571
0.439,0.976928523,0.961237048,0.945731852,0.932111143,0.920593883,0.910944663,0.90284165,0.895989822,0.890146234,0.822417336
0.44,0.976669565,0.960889823,0.945321644,0.931659571,0.920115901,0.910449599,0.902335394,0.895476067,0.889627143,0.821900108
0.441,0.976408697,0.960540724,0.944909419,0.931206599,0.919636623,0.909953345,0.901828069,0.894961097,0.889107148,0.821382069
0.442,0.976146013,0.960189833,0.944495607,0.930752009,0.919155914,0.90945574,0.901319288,0.894444954,0.888585975,0.820863335
0.443,0.975881397,0.959837171,0.944080055,0.930295812,0.91867389,0.908956962,0.900809441,0.893927778,0.888063673,0.820343764
0.444,0.975614872,0.959482634,0.943662896,0.929838187,0.918190257,0.908456833,0.900298291,0.893409253,0.887540371,0.819823325
0.445,0.975346416,0.959126247,0.943243957,0.9293788,0.91770548,0.907955379,0.899786093,0.892889676,0.887015748,0.819302198
0.446,0.975076128,0.958767953,0.94282347,0.928918168,0.917219091,0.907452555,0.899272421,0.892369061,0.886490163,0.818780236
0.447,0.974804083,0.958407852,0.942400953,0.928455739,0.916731408,0.906948518,0.898757667,0.891847097,0.885963406,0.818257242
0.448,0.974529957,0.95804574,0.941977031,0.927991854,0.916242233,0.906443141,0.898241802,0.891324055,0.885435678,0.817733698
0.449,0.974253766,0.95768189,0.941551173,0.927526354,0.915751598,0.905936418,0.897724461,0.890799818,0.884906774,0.817209143
0.45,0.973975939,0.957316225,0.941123864,0.927059425,0.915259638,0.905428472,0.897206043,0.890274515,0.88437668,0.816683848
0.451,0.973696029,0.956948607,0.94069456,0.926590856,0.914766223,0.904919158,0.896686323,0.88974786,0.883845466,0.816157689
0.452,0.973414306,0.956579174,0.940263655,0.926120709,0.91427131,0.90440849,0.89616548,0.889220117,0.8833132,0.815630662
0.453,0.973130563,0.956207723,0.939831142,0.925649041,0.913775091,0.903896439,0.895643356,0.888691337,0.882779778,0.815102753
0.454,0.972844694,0.955834458,0.939396789,0.92517579,0.913277373,0.90338317,0.895119915,0.888161123,0.882245174,0.814574076
0.455,0.972556921,0.955459438,0.938960292,0.924701084,0.912778345,0.9028687,0.894595188,0.887629893,0.88170957,0.814044536
0.456,0.972267402,0.95508234,0.938522617,0.9242247,0.912277834,0.902352647,0.894069353,0.887097571,0.881172763,0.813514229
0.457,0.97197587,0.954703359,0.938082923,0.923746853,0.911775796,0.901835417,0.893542351,0.886563803,0.880634753,0.812982892
0.458,0.971682322,0.954322609,0.937641783,0.923267377,0.911272439,0.901316935,0.893013886,0.88602899,0.880095719,0.812450789
0.459,0.971386712,0.953939865,0.937198821,0.922786254,0.910767596,0.900796905,0.892484257,0.885493088,0.879555464,0.811917928
0.46,0.971089182,0.95355521,0.936753994,0.922303667,0.910261231,0.90027579,0.891953341,0.88495577,0.879014057,0.811384013
0.461,0.970789816,0.953168744,0.936307531,0.921819425,0.909753523,0.899753115,0.891421241,0.884417554,0.87847156,0.810849318
0.462,0.970488164,0.952780396,0.935859444,0.921333675,0.909244445,0.899229199,0.890887853,0.883877883,0.877927897,0.810313705
0.463,0.970184818,0.952390025,0.935409438,0.920846262,0.908733716,0.898704074,0.890353278,0.883337126,0.877382998,0.809777312
0.464,0.969879275,0.951997814,0.934957607,0.920357386,0.908221806,0.898177317,0.889817381,0.882795087,0.876837036,0.809239977
0.465,0.969571764,0.951603665,0.934504308,0.919866809,0.907708192,0.897649523,0.889280153,0.882251955,0.876289858,0.8087019
